iter	Passed	Remaining
837	89561	17313
838	89623	17198
839	89682	17082
840	89769	16971
841	89834	16857
842	89899	16742
843	89973	16630
844	90038	16515
845	90128	16406
846	90196	16292
847	90261	16178
848	90337	16067
849	90518	15973
850	90615	15865
851	90696	15754
852	90771	15642
853	90842	15530
854	90958	15425
855	91084	15322
856	91145	15208
857	91214	15096
858	91277	14982
859	91342	14869
860	91415	14758
861	91481	14645
862	91544	14532
863	91609	14419
864	91680	14308
865	91743	14195
866	91812	14084
867	91876	13972
868	91960	13862
869	92065	13756
870	92138	13646
871	92200	13534
872	92263	13422
873	92333	13311
874	92418	13202
875	92494	13092
876	92562	12981
877	92621	12869
878	92675	12757
879	92731	12645
880	92791	12533
881	92839	12420
882	92908	12310
883	92979	12200
884	93058	12092
885	93117	11981
886	93194	11872
887	93384	11778
888	93478	11671
889	93621	11571
890	93696	11462
891	93786	11355
892	93859	11246
893	93935	11137
894	94065	11035
895	94237	10938
896	94368	10836
897	94544	10738
898	94689	10638
899	94789	10532
900	94868	10423
901	94943	10315
902	95021	10207
903	95087	10097
904	95153	9988
905	95288	9886
906	95582	9800
907	95656	9692
908	95738	9584
909	95878	9482
910	95998	9378
911	96061	9269
912	96111	9158
913	96179	9049
914	96243	8940
915	96312	8832
916	96398	8725
917	96464	8616
918	96540	8509
919	96618	8401
920	96685	8293
921	96757	8185
922	97170	8106
923	97403	8011
924	97527	7907
925	97818	7817
926	97891	7708
927	98178	7617
928	98278	7511
929	98349	7402
930	98416	7294
931	98495	7186
932	98559	7077
933	98636	6970
934	98701	6861
935	98831	6757
936	98903	6649
937	98974	6542
938	99047	6434
939	99115	6326
940	99177	6218
941	99292	6113
942	99368	6006
943	99456	5899
944	99533	5792
945	99609	5685
946	99720	5580
947	99805	5474
948	99906	5369
949	100000	5263
950	100082	5156
951	100144	5049
952	100212	4942
953	100330	4837
954	100519	4736
955	100624	4631
956	100718	4525
957	100824	4420
958	100894	4313
959	100970	4207
960	101050	4100
961	101124	3994
962	101196	3888
963	101267	3781
964	101338	3675
965	101399	3568
966	101484	3463
967	101550	3357
968	101620	3251
